frame_id	timestamp	hands	fingers	tools	gestures	hand_label	hand_id	hand_pos	hand_pitch	hand_roll	hand_yaw	hand_arm_dir	hand_wrist_pos	hand_elbow_pos	Thumb_id	Thumb_length	Thumb_width	Thumb_1	Thumb_2	Thumb_3	Thumb_4	Thumb_5	Index_id	Index_length	Index_width	Index_1	Index_2	Index_3	Index_4	Index_5	Middle_id	Middle_length	Middle_width	Middle_1	Middle_2	Middle_3	Middle_4	Middle_5	Ring_id	Ring_length	Ring_width	Ring_1	Ring_2	Ring_3	Ring_4	Ring_5	Pinky_id	Pinky_length	Pinky_width	Pinky_1	Pinky_2	Pinky_3	Pinky_4	Pinky_5	time_s
557544	3372714	1	5	0	0	Left	186	(-13.2338, 260.583, 3.89158)	13.647143	12.838498	20.646936	(0.427516, 0.274442, -0.861343)	(-38.9742, 251.899, 49.6171)	(-151.197, 179.858, 275.719)	1860	50.668617	19.687469	(-12.5077, 245.156, 61.5987)	(-12.5077, 245.156, 61.5987)	(31.9896, 248.426, 42.5053)	(64.0417, 254.208, 36.3374)	(85.0331, 261.807, 40.7342)	1861	57.173882	18.805471	(-20.265, 264.619, 52.0005)	(16.8848, 271.605, -8.72041)	(31.26, 293.531, -41.2361)	(41.4343, 298.9, -61.7266)	(49.3224, 297.793, -76.3032)	1862	65.14505	18.469471	(-30.1809, 265.02, 45.3054)	(-3.08805, 270.475, -16.6391)	(1.87979, 296.28, -55.4385)	(8.1336, 304.305, -81.1449)	(13.9949, 304.645, -98.4458)	1863	62.638702	17.574873	(-40.4342, 262.492, 39.7249)	(-24.6432, 265.931, -18.9915)	(-24.0766, 287.944, -56.435)	(-20.1564, 294.531, -82.2536)	(-15.48, 294.111, -99.8013)	1864	49.107586	15.611376	(-50.1682, 253.27, 36.3104)	(-43.5967, 257.339, -19.5316)	(-54.5649, 271.407, -48.918)	(-57.5372, 273.88, -67.5362)	(-57.2957, 271.407, -84.1089)	3.372714
557546	3390736	1	5	0	0	Left	186	(-13.832, 259.938, 3.45792)	13.357336	12.024096	20.52817	(0.427751, 0.276322, -0.860625)	(-39.4619, 251.594, 49.3086)	(-151.746, 179.06, 275.222)	1860	50.668617	19.687469	(-13.03, 244.493, 61.159)	(-13.03, 244.493, 61.159)	(31.3923, 247.252, 41.8125)	(63.4706, 252.639, 35.4258)	(84.5569, 260.002, 39.7694)	1861	57.173882	18.805471	(-20.5715, 264.06, 51.6014)	(16.37, 270.556, -9.30089)	(30.8521, 292.704, -41.6177)	(40.8021, 299.223, -61.8835)	(48.5287, 299.624, -76.5826)	1862	65.14505	18.469471	(-30.5139, 264.596, 44.9551)	(-3.65501, 269.696, -17.1213)	(1.54096, 295.364, -55.9824)	(7.74225, 303.451, -81.682)	(13.4709, 303.945, -99.0236)	1863	62.638702	17.574873	(-40.8276, 262.208, 39.4249)	(-25.2807, 265.444, -19.3681)	(-24.4268, 287.335, -56.8774)	(-20.6073, 294.183, -82.6432)	(-16.1494, 294.184, -100.253)	1864	49.107586	15.611376	(-50.7018, 253.118, 36.0573)	(-44.3508, 257.108, -19.8159)	(-55.1289, 271.195, -49.2637)	(-58.2206, 273.896, -67.8306)	(-58.2915, 271.814, -84.4586)	3.390736
557549	3417961	1	5	0	0	Left	186	(-14.2866, 259.835, 3.20035)	12.226128	11.152345	20.393781	(0.42466, 0.289157, -0.857935)	(-39.839, 252.514, 49.2687)	(-151.312, 176.611, 274.476)	1860	50.668617	19.687469	(-13.4607, 245.209, 61.1142)	(-13.4607, 245.209, 61.1142)	(30.9089, 247.148, 41.5484)	(63.0202, 252.025, 34.9233)	(84.1739, 259.227, 39.2102)	1861	57.173882	18.805471	(-20.7644, 264.742, 51.306)	(16.0089, 269.837, -9.83087)	(30.7171, 291.312, -42.4979)	(40.6309, 297.735, -62.8122)	(48.2768, 298.29, -77.5484)	1862	65.14505	18.469471	(-30.7261, 265.324, 44.6926)	(-4.05908, 269.151, -17.5578)	(1.51616, 294.239, -56.7433)	(7.45656, 302.935, -82.3054)	(12.8033, 304.514, -99.704)	1863	62.638702	17.574873	(-41.0958, 263.003, 39.2387)	(-25.7521, 265.175, -19.6566)	(-24.4937, 286.43, -57.5185)	(-20.7983, 293.445, -83.2576)	(-16.6239, 293.973, -100.929)	1864	49.107586	15.611376	(-51.1118, 254.008, 36.0419)	(-44.94, 257.105, -19.9079)	(-55.442, 270.722, -49.6749)	(-58.6407, 273.431, -68.2225)	(-59.0534, 271.618, -84.8769)	3.417961
557552	3445018	1	5	0	0	Left	186	(-15.0022, 258.963, 2.79923)	10.973265	9.82655	20.187009	(0.426019, 0.297989, -0.854231)	(-40.3944, 252.83, 49.1288)	(-152.224, 174.608, 273.364)	1860	50.668617	19.687469	(-14.1023, 245.107, 60.9011)	(-14.1023, 245.107, 60.9011)	(30.1106, 245.476, 40.8927)	(62.256, 249.273, 33.7462)	(83.6104, 255.997, 37.8082)	1861	57.173882	18.805471	(-21.0434, 264.662, 50.8745)	(15.4154, 268.12, -10.5645)	(30.4253, 289.069, -43.4356)	(40.236, 295.917, -63.6608)	(47.7385, 297.293, -78.4169)	1862	65.14505	18.469471	(-31.0348, 265.373, 44.3187)	(-4.71487, 267.77, -18.1506)	(1.3013, 292.247, -57.6564)	(7.09716, 301.228, -83.1527)	(12.1497, 303.466, -100.567)	1863	62.638702	17.574873	(-41.4897, 263.207, 38.9646)	(-26.5035, 264.244, -20.0535)	(-24.825, 284.778, -58.2952)	(-21.1432, 291.552, -84.1006)	(-17.1379, 292.092, -101.81)	1864	49.107586	15.611376	(-51.7216, 254.391, 35.9565)	(-45.8646, 256.595, -20.0695)	(-56.1086, 269.824, -50.0999)	(-59.4029, 272.477, -68.6391)	(-60.1186, 270.775, -85.2951)	3.445018
557555	3472172	1	5	0	0	Left	186	(-15.669, 258.113, 2.43941)	10.074304	9.212651	20.127842	(0.425831, 0.302314, -0.852804)	(-41.0274, 252.792, 48.8878)	(-152.808, 173.435, 272.748)	1860	50.668617	19.687469	(-14.7915, 244.942, 60.7007)	(-14.7915, 244.942, 60.7007)	(29.3427, 244.36, 40.5243)	(61.4927, 247.518, 33.0928)	(82.9475, 254.001, 37.014)	1861	57.173882	18.805471	(-21.553, 264.445, 50.4548)	(14.8131, 266.798, -11.0914)	(30.0367, 287.188, -44.2144)	(39.8209, 294.14, -64.4169)	(47.2637, 295.901, -79.1624)	1862	65.14505	18.469471	(-31.55, 265.18, 43.9103)	(-5.33521, 266.564, -18.6338)	(1.05724, 290.421, -58.4579)	(6.69447, 299.887, -83.8142)	(11.4597, 303.05, -101.166)	1863	62.638702	17.574873	(-42.0374, 263.058, 38.6026)	(-27.1626, 263.238, -20.4525)	(-25.063, 283.121, -59.0162)	(-21.3773, 289.931, -84.8117)	(-17.5121, 290.819, -102.538)	1864	49.107586	15.611376	(-52.3651, 254.313, 35.7196)	(-46.6009, 255.789, -20.3399)	(-56.4893, 268.571, -50.6813)	(-59.868, 271.414, -69.1771)	(-60.9344, 270.276, -85.8623)	3.472172
557558	3499245	1	5	0	0	Left	186	(-16.0958, 257.405, 2.15005)	9.738383	9.754577	20.099866	(0.426443, 0.302922, -0.852282)	(-41.4742, 252.277, 48.6092)	(-153.415, 172.761, 272.333)	1860	50.668617	19.687469	(-15.1834, 244.786, 60.5328)	(-15.1834, 244.786, 60.5328)	(29.0077, 244.506, 40.4751)	(61.1353, 247.924, 33.0621)	(82.5124, 254.666, 36.9715)	1861	57.173882	18.805471	(-22.1133, 264.129, 50.0957)	(14.3236, 266.252, -11.4169)	(29.4822, 286.296, -44.7804)	(39.1989, 293.338, -64.9842)	(46.6083, 295.374, -79.7111)	1862	65.14505	18.469471	(-32.1068, 264.708, 43.5301)	(-5.81, 265.757, -18.9861)	(0.571591, 289.151, -59.0859)	(6.11858, 298.679, -84.4389)	(10.7899, 302.124, -101.762)	1863	62.638702	17.574873	(-42.5655, 262.437, 38.2273)	(-27.6021, 262.208, -20.8053)	(-25.3006, 281.647, -59.5833)	(-21.6838, 288.809, -85.2928)	(-17.9623, 290.375, -103.003)	1864	49.107586	15.611376	(-52.8055, 253.568, 35.411)	(-46.9692, 254.576, -20.6514)	(-56.5101, 267.003, -51.2508)	(-59.9372, 270.249, -69.6711)	(-61.2936, 269.991, -86.3721)	3.499245
557559	3508176	1	5	0	0	Left	186	(-16.2457, 257.226, 2.03418)	9.672618	10.140283	20.13855	(0.42613, 0.302168, -0.852706)	(-41.6771, 252.098, 48.4643)	(-153.536, 172.78, 272.299)	1860	50.668617	19.687469	(-15.36, 244.824, 60.4638)	(-15.36, 244.824, 60.4638)	(28.9155, 244.957, 40.5914)	(61.033, 248.67, 33.2773)	(82.3377, 255.616, 37.2259)	1861	57.173882	18.805471	(-22.3977, 264.083, 49.9439)	(14.1401, 266.225, -11.5081)	(29.2763, 286.133, -44.9628)	(38.9868, 293.176, -65.1692)	(46.4044, 295.271, -79.8837)	1862	65.14505	18.469471	(-32.3824, 264.572, 43.3577)	(-5.97548, 265.57, -19.1129)	(0.397827, 288.771, -59.3255)	(5.94605, 298.25, -84.6967)	(10.6244, 301.71, -102.015)	1863	62.638702	17.574873	(-42.8159, 262.213, 38.0437)	(-27.7402, 261.87, -20.9597)	(-25.3487, 281.247, -59.7635)	(-21.7966, 288.765, -85.3803)	(-18.1794, 290.839, -103.06)	1864	49.107586	15.611376	(-52.9918, 253.266, 35.2405)	(-47.0568, 254.111, -20.8142)	(-56.4961, 266.512, -51.4556)	(-59.9488, 269.974, -69.8317)	(-61.41, 270.103, -86.5253)	3.508176
557561	3526310	1	5	0	0	Left	186	(-16.5887, 256.602, 1.69631)	9.630991	10.635149	20.118625	(0.427079, 0.297633, -0.853825)	(-42.0294, 251.435, 48.117)	(-154.137, 173.306, 272.246)	1860	50.668617	19.687469	(-15.6647, 244.433, 60.1744)	(-15.6647, 244.433, 60.1744)	(28.6799, 245.107, 40.4679)	(60.7671, 249.195, 33.2205)	(81.9849, 256.393, 37.1844)	1861	57.173882	18.805471	(-22.8553, 263.59, 49.5722)	(13.7346, 265.81, -11.8461)	(28.8225, 285.56, -45.4162)	(38.505, 292.64, -65.623)	(45.9157, 294.856, -80.3232)	1862	65.14505	18.469471	(-32.8361, 263.969, 42.9728)	(-6.36577, 264.952, -19.4711)	(0.0240028, 287.848, -59.8559)	(5.56233, 297.286, -85.2445)	(10.2273, 300.821, -102.552)	1863	62.638702	17.574873	(-43.2428, 261.5, 37.6561)	(-28.0958, 261.059, -21.3284)	(-25.6091, 280.312, -60.1877)	(-22.1287, 288.169, -85.7124)	(-18.6281, 290.756, -103.348)	1864	49.107586	15.611376	(-53.3382, 252.455, 34.8759)	(-47.3451, 253.135, -21.1749)	(-56.624, 265.541, -51.863)	(-60.1409, 269.384, -70.1509)	(-61.8071, 270.174, -86.8071)	3.52631
557564	3553474	1	5	0	0	Left	186	(-16.9645, 256.087, 1.4626)	9.472216	11.099462	20.083217	(0.427485, 0.296753, -0.853929)	(-42.4051, 250.979, 47.8898)	(-154.62, 173.081, 272.046)	1860	50.668617	19.687469	(-15.9956, 244.26, 60.0101)	(-15.9956, 244.26, 60.0101)	(28.4077, 245.561, 40.4678)	(60.4523, 250.09, 33.2949)	(81.5493, 257.603, 37.3188)	1861	57.173882	18.805471	(-23.3318, 263.297, 49.2922)	(13.2954, 265.463, -12.1058)	(28.4606, 284.847, -45.8536)	(38.1497, 291.949, -66.0499)	(45.5636, 294.349, -80.7195)	1862	65.14505	18.469471	(-33.3093, 263.557, 42.6821)	(-6.79025, 264.399, -19.7433)	(-0.314905, 286.912, -60.3292)	(5.22547, 296.324, -85.727)	(9.86929, 299.987, -103.013)	1863	62.638702	17.574873	(-43.6906, 260.973, 37.3705)	(-28.4862, 260.319, -21.5973)	(-25.9348, 279.314, -60.5787)	(-22.472, 287.229, -86.088)	(-19.0139, 290.007, -103.703)	1864	49.107586	15.611376	(-53.7097, 251.831, 34.6332)	(-47.6707, 252.239, -21.4153)	(-56.7997, 264.416, -52.2399)	(-60.2995, 268.325, -70.5173)	(-62.0184, 269.344, -87.1557)	3.553474
557568	3589583	1	5	0	0	Left	186	(-17.292, 254.983, 1.04025)	9.754338	12.061255	19.982468	(0.428024, 0.294895, -0.854302)	(-42.6812, 249.498, 47.4527)	(-155.037, 172.088, 271.707)	1860	50.668617	19.687469	(-16.1728, 243.235, 59.601)	(-16.1728, 243.235, 59.601)	(28.3013, 247.354, 40.6183)	(60.1363, 253.765, 33.9657)	(80.7594, 262.288, 38.4112)	1861	57.173882	18.805471	(-23.8178, 262.135, 48.8571)	(12.8178, 264.85, -12.5141)	(27.9908, 284.084, -46.3439)	(37.6367, 291.473, -66.4577)	(45.0222, 294.345, -81.0566)	1862	65.14505	18.469471	(-33.7928, 262.221, 42.2388)	(-7.2411, 263.441, -20.1664)	(-0.572256, 285.625, -60.9023)	(5.03336, 295.126, -86.2524)	(9.69751, 299.051, -103.475)	1863	62.638702	17.574873	(-44.1252, 259.458, 36.9217)	(-28.8642, 258.997, -22.0332)	(-26.2383, 277.876, -61.0663)	(-22.804, 286.051, -86.4971)	(-19.4045, 289.234, -104.055)	1864	49.107586	15.611376	(-53.9877, 250.147, 34.1863)	(-47.911, 250.597, -21.8578)	(-56.8612, 262.765, -52.7387)	(-60.3278, 266.925, -70.9668)	(-62.0868, 268.387, -87.5679)	3.589583
